AE1:2
C1:2
C10:2
C11:2
C12:2
C13:2
C14:2
C15:2
C16:2
C17:2
C18:2
C19:2
C2:2
C20:2
C21:2
C22:2
C23:2
C24:2
C25:2
C26:2
C27:2
C3:2
C4:2
C5:2
C6:2
C7:2
C8:2
C9:2
FL1:2
J1:2
J2:2
L1:2
L2:2
LED1:2
R1:2
R10:2
R11:2
R12:2
R13:2
R14:2
R15:2
R2:2
R3:2
R4:2
R5:2
R6:2
R7:2
R8:2
R9:2
SW1:2
SW2:2
TP1:2
TP2:2
TP3:2
TP4:2
TP5:2
U1:2
U10:2
U2:2
U3:2
U4:2
U5:2
U6:2
U7:2
U8:2
U9:2
USB1:2
X1:2
